name	type	units	low_cutoff	high_cutoff	sampling_frequency	description	status	status_description
iEEG63	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG64	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG65	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG66	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG67	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG68	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG69	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG70	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG71	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG72	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG73	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG74	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG75	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG76	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG77	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG78	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG79	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG80	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG81	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG82	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG83	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG84	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG85	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
iEEG86	SEEG	µV	0.5	150	512.0	Intracranial contact (mixed strip/grid/depth; per-contact type and location not disclosed in the anonymized release)	good	n/a
